id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
7kTrmxKDRT7DnCQ61kzBX8,0.392,0.759,0.524,1.99e-06,0.0772,-9.152,0.0664,80.999,0.855
7eUpzTkLInOoethdIozH5h,0.0254,0.875,0.443,0.0,0.033,-9.637,0.118,122.035,0.859
2Vj6LuBGM1ek8P7lYN19PN,0.87,0.391,0.214,0.847,0.0798,-20.67,0.0355,108.634,0.392
4JLmR6NiItEFyg9BtYuFfh,0.993,0.372,0.136,0.97,0.221,-23.727,0.0389,140.01,0.108
3vuUhwFljjs55iJNVQSoYb,0.707,0.624,0.307,6.25e-06,0.0972,-11.193,0.0409,96.738,0.61
5LWLVUBBCNYKPWOHDO0We7,0.583,0.45,0.52,0.0,0.35,-7.973,0.0353,110.894,0.683
6nSHvWpt8dvfj1Xz3eRTIe,0.487,0.437,0.674,3.94e-06,0.747,-8.867,0.0419,105.339,0.401
3HiggmK2cAdXq7XKQNFhMH,0.944,0.369,0.0682,0.947,0.0872,-22.198,0.0354,100.16,0.0389
1OkqhhiH4TEYtqxiSISYen,0.945,0.754,0.546,0.000277,0.129,-10.031,0.063,149.874,0.966
7neylaPRq4TW8DbDu7CVhE,0.601,0.584,0.427,0.00102,0.136,-9.995,0.125,124.77,0.578
6p9ygrttVEa7mhLdubox9n,0.83,0.652,0.096,9.43e-05,0.0984,-17.605,0.116,124.428,0.536
2cd7WG1fOaC4oQ5F8KIFKQ,0.542,0.367,0.681,0.118,0.134,-6.399,0.03,97.34,0.145
26ms1ImXoWAXVOkWX4cfsu,0.271,0.624,0.941,0.000569,0.125,-5.987,0.179,123.613,0.382
61AJlCxahP7OhPjYojRvN6,0.887,0.473,0.421,0.272,0.105,-9.865,0.0315,125.584,0.727
23tUmMAG8FEKaHumU5Zi5J,0.649,0.557,0.758,0.936,0.0746,-13.399,0.048,116.144,0.342
647CkTunO3emtmhpsFMhQH,0.993,0.404,0.00594,0.914,0.113,-26.992,0.0394,66.366,0.279
4duwdgGjNHJc1uel4SZPya,0.133,0.853,0.848,0.00316,0.137,-5.102,0.0741,145.079,0.933
1Nbyk9PKdjQdokkwaye8gp,0.57,0.651,0.408,0.289,0.0664,-10.151,0.0404,139.684,0.529
3lAun9V0YdTlCSIEXPvfsY,0.981,0.368,0.278,0.0,0.272,-8.596,0.0302,82.305,0.338
0YKcfBOaZKpx4tbI0UIJT3,0.754,0.647,0.791,9.38e-05,0.122,-6.042,0.0422,143.825,0.675
3rCJPCJTJRUxvCduWDVprx,0.247,0.736,0.456,1.25e-05,0.113,-7.329,0.0467,94.076,0.585
0RQUyYElsZf9IpqGt3RWUK,0.776,0.574,0.39,0.658,0.103,-12.643,0.0428,110.233,0.572
7t7AhN2fNGyNvK75SZWf72,0.94,0.446,0.127,0.92,0.106,-21.25,0.0349,178.028,0.17
0HlHnwtIrZRmhvL7SsElBD,0.242,0.711,0.597,0.0,0.198,-7.998,0.134,108.042,0.629
3ofkEmGpqIZt9dPZwRLMDz,0.831,0.652,0.27,0.914,0.092,-18.121,0.0396,101.667,0.525
1Mvhixzp33IQ7gVO1RFSqo,0.552,0.751,0.576,0.00308,0.0807,-10.475,0.0333,100.016,0.583
6Z6gQlrxErDgvYfe0KEzTf,0.877,0.486,0.109,0.738,0.0981,-21.761,0.0276,90.04,0.0393
0UNzsTocg7Zr6fWc901Psu,0.51,0.68,0.809,4.5e-05,0.0869,-9.649,0.0432,102.14,0.528
5XWA3kJzwdjVZd9aSEOtp3,0.879,0.694,0.302,0.000238,0.111,-9.351,0.0415,124.765,0.514
3KEqOLIj2mQ6pY229PAdrM,0.99,0.731,0.0598,0.947,0.0768,-27.227,0.0577,120.0,0.331
0wnLMEOQlyW3Es1ag0HMVV,0.229,0.729,0.505,0.0,0.0975,-9.236,0.323,148.435,0.723
6JufTYmSErPhic1jK4IT8i,0.647,0.447,0.545,0.00214,0.113,-8.258,0.1,160.937,0.732
0wiZoI64dCYXXfC5YZwgtC,0.875,0.647,0.19,0.00631,0.103,-15.042,0.047,92.313,0.435
4nSP4qJJYkSd2C5svcAYKP,0.877,0.656,0.521,0.0,0.229,-7.349,0.0342,155.898,0.667
1tsOB58QHINgc2FEJylsLP,0.0613,0.494,0.838,0.26,0.405,-6.028,0.0387,98.019,0.558
4LSE0NPPwmsvNSgOJ1qbqP,0.195,0.679,0.33,0.0,0.0855,-12.079,0.0371,121.87,0.875
4jlmKK2YsAueVsy7gjLyLd,0.993,0.474,0.0384,0.958,0.105,-19.542,0.029,99.954,0.19
1PfFnQrvIAij0ESVd8l9x8,0.254,0.636,0.757,0.0,0.934,-8.386,0.0658,96.672,0.716
3z6UWkfaoh9GvGwgf3y4BU,0.419,0.484,0.701,0.000435,0.212,-7.407,0.0477,136.417,0.383
5DV9tV7UkAAQrmw5dEDbMl,0.894,0.328,0.231,0.85,0.103,-22.245,0.0344,94.196,0.573
1zas69UJtBmRKApRLZfOjB,0.635,0.628,0.046,0.0,0.0885,-13.514,0.0457,100.923,0.274
0C6rRCFz4F0b2W67KzjlXj,0.785,0.544,0.411,0.874,0.0887,-14.248,0.0463,112.349,0.435
5GbOYy9AZHOjeZCd3gAa2D,0.548,0.636,0.724,0.0227,0.0707,-8.24,0.0428,135.915,0.923
3DhzUJD2gRMalVhxcBwO8k,0.332,0.889,0.298,0.00294,0.133,-15.02,0.0707,115.547,0.839
4pio46MIRVzq1ZnK7E4dm7,0.864,0.597,0.474,0.0,0.718,-7.737,0.14,107.155,0.629
2qTIpIjYNxDmGj32aLPCd5,0.576,0.448,0.855,0.000261,0.979,-7.784,0.0571,154.724,0.501
6B3Fr3kIWOOde0dFZPNDFp,0.426,0.607,0.562,0.0,0.101,-9.388,0.33,171.804,0.41
4DKowjY9GwG1FQgB6UNiGh,0.0264,0.738,0.813,0.000335,0.826,-7.095,0.029,100.003,0.74
45H0sXtTbBHSdpYF4gaFIv,0.969,0.563,0.188,0.00396,0.13,-14.9,0.0389,123.271,0.516
21E5NXWfr3BwGvyXVVRfdB,0.195,0.82,0.908,0.159,0.447,-7.731,0.037,126.214,0.977
6pbSIkId5EPkZuhBDLIdmG,0.994,0.0768,0.054,0.994,0.0871,-23.161,0.0436,79.881,0.0387
6tkYQzxl2Hc2f4f83kjdYr,0.876,0.811,0.534,0.0619,0.0903,-8.145,0.038,119.492,0.881
